chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
10	89623380	89731687	PTEN	159	1	0.006289
10	90694829	90751154	ACTA2	160	39	0.243750
10	91190054	91295351	SLC16A12	160	68	0.425000
10	91215746	91227908	SLC16A12-AS1	160	68	0.425000
10	91461345	91534700	KIF20B	160	72	0.450000
10	94211439	94333852	IDE	160	16	0.100000
10	111624522	111683311	XPNPEP1	160	1	0.006250
10	111967361	112047123	MXI1	160	0	0.000000
10	112050486	112064678	SMNDC1	160	16	0.100000
10	112836785	112840665	ADRA2A	160	2	0.012500
10	120435921	120514482	CACUL1	157	0	0.000000
10	121588914	121633140	MCMBP	160	51	0.318750
10	121652240	121704169	SEC23IP	160	52	0.325000
10	122216464	122349376	PLPP4	160	1	0.006250
10	124030809	124097685	BTBD16	160	78	0.487500
10	124221067	124274423	HTRA1	160	31	0.193750
10	124457223	124459362	C10orf120	160	23	0.143750
10	126672884	126849599	CTBP2	150	2	0.013333
10	127408082	127452712	EDRF1	160	4	0.025000
10	127455020	127464390	MMP21	160	4	0.025000
10	127473547	127511837	UROS	160	0	0.000000
10	127512113	127542264	BCCIP	160	0	0.000000
10	127700958	128077046	ADAM12	160	2	0.012500
10	131265503	131569247	MGMT	160	2	0.012500
10	131934637	131978646	GLRX3	158	17	0.107595
10	134351289	134596984	INPP5A	160	17	0.106250
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
11	3696238	3818784	NUP98	160	0	0.000000
11	11863517	11983434	USP47	160	63	0.393750
11	20409074	20530884	PRMT3	160	81	0.506250
11	20621152	20680831	SLC6A5	160	103	0.643750
11	22214629	22304913	ANO5	160	63	0.393750
11	22840471	22851347	SVIP	159	11	0.069182
11	26210668	26684836	ANO3	160	1	0.006250
11	32409319	32457085	WT1	160	0	0.000000
11	36589561	36601312	RAG1	160	0	0.000000
11	44117097	44273531	EXT2	160	5	0.031250
11	48002109	48192391	PTPRJ	160	0	0.000000
11	55681124	55682058	OR5W2	160	0	0.000000
11	57067114	57092426	TNKS1BP1	160	0	0.000000
11	57093460	57103366	SSRP1	160	0	0.000000
11	57105824	57139869	P2RX3	160	0	0.000000
11	57174425	57195053	SLC43A3	160	1	0.006250
11	57319126	57335803	UBE2L6	160	1	0.006250
11	57479993	57586652	TMX2-CTNND1	160	2	0.012500
11	57529272	57587012	CTNND1	160	2	0.012500
11	57791351	57949088	OR9Q1	160	7	0.043750
11	57798423	57799378	OR6Q1	160	7	0.043750
11	58034262	58035732	OR10W1	160	2	0.012500
11	58294342	58345712	LPXN	159	2	0.012579
11	58346534	58389023	ZFP91	160	2	0.012500
11	58346585	58393206	ZFP91-CNTF	160	2	0.012500
11	58938901	58976061	DTX4	160	1	0.006250
11	60145956	60163427	MS4A7	157	11	0.070064
11	60163485	60185229	MS4A14	160	0	0.000000
11	60223280	60238225	MS4A1	158	10	0.063291
11	68452010	68458643	GAL	160	1	0.006250
11	68671317	68708069	IGHMBP2	160	1	0.006250
11	71996537	72145728	CLPB	160	4	0.025000
11	85405262	85522202	SYTL2	160	1	0.006250
11	85566142	85631064	CCDC83	160	0	0.000000
11	89867829	89926062	NAALAD2	160	1	0.006250
11	89933595	89956532	CHORDC1	159	1	0.006289
11	93394846	93463524	CEP295	158	7	0.044304
11	98891677	100229616	CNTN5	149	45	0.302013
11	100554890	100558686	LOC100128386	160	63	0.393750
11	100558017	100864672	ARHGAP42	160	92	0.575000
11	100900353	101000544	PGR	160	6	0.037500
11	101918166	101955291	CFAP300	160	0	0.000000
11	102582525	102595685	MMP8	160	0	0.000000
11	102733465	102745712	MMP12	160	11	0.068750
11	102980153	103350591	DYNC2H1	160	1	0.006250
11	107197069	107328572	CWF19L2	160	0	0.000000
11	107373451	107436461	ALKBH8	160	0	0.000000
11	111116448	111157126	C11orf53	160	0	0.000000
11	111473171	111601579	SIK2	160	0	0.000000
11	111652917	111742305	ALG9	160	0	0.000000
11	111779286	111794464	CRYAB	160	0	0.000000
11	111783458	111797595	HSPB2-C11orf52	160	0	0.000000
11	111789635	111797595	C11orf52	160	0	0.000000
11	111797866	111893377	DIXDC1	160	0	0.000000
11	111896130	111935128	DLAT	159	0	0.000000
11	111934732	111944895	PIH1D2	160	0	0.000000
11	113185303	113244019	TTC12	150	2	0.013333
11	116644513	116658739	ZPR1	160	0	0.000000
11	116706831	116726445	APOA1-AS	155	11	0.070968
11	116714124	116969144	SIK3	155	11	0.070968
11	117049457	117068158	SIDT2	160	18	0.112500
11	117192492	117283982	CEP164	160	0	0.000000
11	118064438	118095726	JAML	160	6	0.037500
11	118307203	118397547	KMT2A	160	2	0.012500
11	118443100	118473748	ARCN1	160	4	0.025000
11	118477149	118528738	PHLDB1	160	12	0.075000
11	118618470	118661873	DDX6	160	41	0.256250
11	118967218	118972563	DPAGT1	157	6	0.038217
11	119019760	119033375	ABCG4	156	6	0.038462
11	119039041	119054725	NLRX1	160	7	0.043750
11	119056182	119060922	PDZD3	160	8	0.050000
11	119060345	119066551	CCDC153	160	8	0.050000
11	119205235	119208019	RNF26	160	4	0.025000
11	120207120	120360646	ARHGEF12	155	19	0.122581
11	122940578	123065956	CLMP	160	39	0.243750
11	124617368	124622151	VSIG2	160	1	0.006250
11	124753585	124767761	ROBO4	160	1	0.006250
11	124824096	124911385	CCDC15	159	1	0.006289
11	125104931	125303285	PKNOX2	158	0	0.000000
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
12	1901127	2027818	CACNA2D4	160	1	0.006250
12	7074488	7079916	PHB2	160	4	0.025000
12	7080074	7105520	EMG1	160	4	0.025000
12	7085345	7125780	LPCAT3	160	4	0.025000
12	7247148	7261810	C1RL	152	3	0.019737
12	7260902	7274447	C1RL-AS1	158	3	0.018987
12	7282965	7311541	CLSTN3	160	3	0.018750
12	10851686	10875922	YBX3	160	8	0.050000
12	12510010	12624167	BORCS5	160	56	0.350000
12	12626214	12715797	DUSP16	160	49	0.306250
12	14518564	14655869	ATF7IP	160	0	0.000000
12	14765564	14849533	GUCY2C	160	4	0.025000
12	15033796	15038788	MGP	160	8	0.050000
12	15773066	15942322	EPS8	155	9	0.058065
12	16500074	16530126	MGST1	158	21	0.132911
12	18836112	18890946	PLCZ1	160	0	0.000000
12	19282665	19529334	PLEKHA5	160	0	0.000000
12	20522177	20837041	PDE3A	154	0	0.000000
12	21417532	21548371	SLCO1A2	160	0	0.000000
12	22346323	22487648	ST8SIA1	160	10	0.062500
12	25261221	25348094	CASC1	159	31	0.194969
12	25629014	25801512	LMNTD1	160	5	0.031250
12	26488283	26986127	ITPR2	160	9	0.056250
12	27175453	27183606	MED21	159	7	0.044025
12	27397217	27478892	STK38L	160	9	0.056250
12	27619741	27655118	SMCO2	160	0	0.000000
12	29302209	29488549	FAR2	160	23	0.143750
12	29490283	29534105	ERGIC2	160	21	0.131250
12	29653744	29937692	TMTC1	155	7	0.045161
12	31535155	31744070	DENND5B	160	4	0.025000
12	32259739	32536567	BICD1	160	0	0.000000
12	32832132	32898584	DNM1L	160	0	0.000000
12	32899476	32908831	YARS2	160	0	0.000000
12	33527171	33592754	SYT10	160	0	0.000000
12	39046003	39299393	CPNE8	160	1	0.006250
12	39687028	39836922	KIF21A	155	0	0.000000
12	39943833	40013605	ABCD2	160	0	0.000000
12	40148825	40499883	SLC2A13	160	4	0.025000
12	40618797	40763087	LRRK2	159	10	0.062893
12	40787194	40964559	MUC19	160	10	0.062500
12	42850557	42983548	PRICKLE1	160	27	0.168750
12	43747667	43946006	ADAMTS20	160	34	0.212500
12	44152745	44183346	IRAK4	154	12	0.077922
12	45456399	45459194	RACGAP1P	160	56	0.350000
12	46751969	46766556	SLC38A2	160	4	0.025000
12	48103515	48119273	ENDOU	159	1	0.006289
12	48128144	48152663	RAPGEF3	160	1	0.006250
12	48722761	48724062	H1-7	158	0	0.000000
12	53083408	53097308	KRT77	160	41	0.256250
12	53662081	53687422	ESPL1	160	0	0.000000
12	55341797	55378546	TESPA1	160	12	0.075000
12	56078350	56106192	ITGA7	160	2	0.012500
12	56146245	56211540	SARNP	160	3	0.018750
12	56211823	56215663	ORMDL2	160	3	0.018750
12	56229215	56236720	MMP19	160	3	0.018750
12	56810145	56843210	TIMELESS	160	1	0.006250
12	57489189	57505145	STAT6	160	3	0.018750
12	57522264	57607144	LRP1	157	11	0.070064
12	57881849	57910435	MARS1	160	7	0.043750
12	57923831	57941114	DCTN2	160	0	0.000000
12	57998605	58003585	DTX3	160	25	0.156250
12	58141508	58146093	CDK4	160	2	0.012500
12	58156115	58160861	CYP27B1	160	2	0.012500
12	58176526	58196639	TSFM	160	2	0.012500
12	58191157	58209852	AVIL	160	2	0.012500
12	59265935	59314319	LRIG3	158	12	0.075949
12	59989808	60183622	SLC16A7	160	2	0.012500
12	66696271	66737423	HELB	159	19	0.119497
12	66741209	67198049	GRIP1	160	17	0.106250
12	69979237	69995350	CCT2	160	0	0.000000
12	70037286	70093196	BEST3	160	0	0.000000
12	70132638	70216984	RAB3IP	159	0	0.000000
12	70909648	71031209	PTPRB	160	0	0.000000
12	72666527	73059422	TRHDE	160	6	0.037500
12	78224672	78606790	NAV3	160	10	0.062500
12	96260824	96336392	CCDC38	160	10	0.062500
12	96883353	97269333	CFAP54	160	34	0.212500
12	97301033	97347558	NEDD1	156	30	0.192308
12	98847616	98850923	SLC9A7P1	160	67	0.418750
12	99039066	99129211	APAF1	160	76	0.475000
12	100593863	100618202	ACTR6	160	14	0.087500
12	100597445	100660857	DEPDC4	160	14	0.087500
12	100967460	101022066	GAS2L3	160	6	0.037500
12	101188552	101522419	ANO4	160	7	0.043750
12	101673881	101780396	UTP20	160	25	0.156250
12	102139275	102224737	GNPTAB	160	81	0.506250
12	102789650	102874341	IGF1	158	50	0.316456
12	103631367	103889788	C12orf42	160	69	0.431250
12	104324186	104341704	HSP90B1	160	82	0.512500
12	104359580	104382656	TDG	154	63	0.409091
12	104382759	104457955	GLT8D2	159	79	0.496855
12	105501507	105562908	WASHC4	160	33	0.206250
12	105567073	105630008	APPL2	160	33	0.206250
12	105724467	105765296	C12orf75	160	0	0.000000
12	106696509	106740781	TCP11L2	153	1	0.006536
12	106751524	106903976	POLR3B	160	4	0.025000
12	107385140	107487327	CRY1	158	5	0.031646
12	107712209	108053419	BTBD11	160	0	0.000000
12	113796390	113829434	PLBD2	160	23	0.143750
12	117890815	118406795	KSR2	159	5	0.031447
12	120972157	121015391	RNF10	160	6	0.037500
12	121078420	121105127	CABP1	160	2	0.012500
12	121438287	121454290	C12orf43	160	2	0.012500
12	121570677	121625835	P2RX7	160	13	0.081250
12	121647930	121671909	P2RX4	160	19	0.118750
12	122242628	122270562	SETD1B	160	1	0.006250
12	122516660	122631891	MLXIP	160	1	0.006250
12	130822430	130857182	PIWIL1	160	22	0.137500
12	130880676	131200850	RIMBP2	160	16	0.100000
12	132413819	132430441	PUS1	160	8	0.050000
12	132434485	132565005	EP400	160	7	0.043750
12	133200346	133263928	POLE	160	35	0.218750
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
13	25338305	25454059	RNF17	160	28	0.175000
13	25875761	25916559	NUP58	160	29	0.181250
13	25946110	26599989	ATP8A2	160	0	0.000000
13	27825690	27830705	RPL21	160	0	0.000000
13	31709108	31736525	HSPH1	160	4	0.025000
13	35516422	36246874	NBEA	160	0	0.000000
13	36342787	36706076	DCLK1	160	0	0.000000
13	41129802	41240778	FOXO1	160	7	0.043750
13	41506053	41635522	ELF1	160	17	0.106250
13	41635643	41658142	WBP4	157	15	0.095541
13	42140969	42535245	VWA8	160	9	0.056250
13	42846286	42897397	AKAP11	160	8	0.050000
13	51935711	52027172	INTS6	160	22	0.137500
13	66876964	67804468	PCDH9	157	27	0.171975
13	73326305	73356038	DIS3	160	0	0.000000
13	73356269	73590599	PIBF1	160	1	0.006250
13	77579393	77601294	FBXL3	160	15	0.093750
13	77618790	77901229	MYCBP2	160	13	0.081250
13	78109807	78219398	SCEL	160	56	0.350000
13	78393070	78482577	EDNRB-AS1	160	9	0.056250
13	78469614	78549662	EDNRB	160	9	0.056250
13	95672081	95953705	ABCC4	158	0	0.000000
13	99336053	99404926	SLC15A1	160	0	0.000000
13	99445681	99738948	DOCK9	160	0	0.000000
13	108870738	108886591	ABHD13	160	31	0.193750
13	109248251	109860353	MYO16	160	53	0.331250
13	113301356	113338811	ATP11AUN	160	3	0.018750
13	113623526	113754056	MCF2L	160	19	0.118750
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
14	20754384	20774110	TTC5	160	0	0.000000
14	24028774	24037000	AP1G2	160	5	0.031250
14	24030304	24037285	LOC102724814	160	5	0.031250
14	24037245	24047999	JPH4	159	5	0.031447
14	31760992	31889756	HEATR5A	160	4	0.025000
14	42076057	42373752	LRFN5	160	0	0.000000
14	45431391	45543634	TOGARAM1	160	2	0.012500
14	45553317	45585485	PRPF39	160	2	0.012500
14	45584800	45603684	FKBP3	160	2	0.012500
14	45605131	45670093	FANCM	160	12	0.075000
14	45672391	45722405	MIS18BP1	160	12	0.075000
14	50110268	50155098	POLE2	160	5	0.031250
14	50159836	50219868	KLHDC1	160	5	0.031250
14	50248799	50319921	NEMF	160	5	0.031250
14	50474029	50571761	LINC01599	160	3	0.018750
14	50575353	50583290	VCPKMT	160	3	0.018750
14	50792981	50864016	CDKL1	159	0	0.000000
14	51441977	51562422	TRIM9	160	4	0.025000
14	51955844	52197445	FRMD6	160	1	0.006250
14	52897306	53019301	TXNDC16	160	5	0.031250
14	53173916	53195308	PSMC6	160	8	0.050000
14	53196882	53241707	STYX	159	8	0.050314
14	53323987	53417815	FERMT2	160	13	0.081250
14	55595968	55612148	LGALS3	160	0	0.000000
14	55614851	55658303	DLGAP5	160	0	0.000000
14	55738137	55820329	FBXO34	160	1	0.006250
14	55880926	55907263	TBPL2	160	1	0.006250
14	56046923	56151302	KTN1	160	5	0.031250
14	57046514	57116233	TMEM260	160	28	0.175000
14	58894101	59018015	KIAA0586	160	2	0.012500
14	59655383	59838123	DAAM1	160	5	0.031250
14	59951159	59972128	JKAMP	160	2	0.012500
14	60062692	60337494	RTN1	160	1	0.006250
14	60558627	60614939	PCNX4	160	23	0.143750
14	60610835	60636582	DHRS7	160	23	0.143750
14	61447830	61550451	SLC38A6	160	9	0.056250
14	62162229	62214977	HIF1A	160	4	0.025000
14	62182274	62217815	HIF1A-AS3	160	4	0.025000
14	64319681	64693167	SYNE2	160	7	0.043750
14	64855069	64926743	MTHFD1	160	7	0.043750
14	64915822	64971931	ZBTB25	160	7	0.043750
14	64932215	64941221	AKAP5	160	7	0.043750
14	68213237	68283307	ZFYVE26	160	22	0.137500
14	70242131	70263958	SLC10A1	160	2	0.012500
14	70510930	70655787	SLC8A3	160	0	0.000000
14	71374174	71582099	PCNX1	160	1	0.006250
14	73086002	73360824	DPF3	160	1	0.006250
14	73393170	73428775	DCAF4	160	3	0.018750
14	73704212	73741331	PAPLN	160	5	0.031250
14	74318532	74352429	PTGR2	160	20	0.125000
14	74353560	74399224	ZNF410	160	20	0.125000
14	74486050	74532795	BBOF1	160	17	0.106250
14	74523548	74551156	ALDH6A1	158	14	0.088608
14	77490884	77495051	IRF2BPL	160	2	0.012500
14	77564599	77583630	CIPC	160	13	0.081250
14	77787377	77797940	GSTZ1	159	1	0.006289
14	77893016	77923983	VIPAS39	160	0	0.000000
14	78636714	80334634	NRXN3	160	9	0.056250
14	80962819	81408082	CEP128	159	0	0.000000
14	81421963	81612650	TSHR	152	1	0.006579
14	81937889	82000205	SEL1L	160	2	0.012500
14	88851986	88904804	SPATA7	160	9	0.056250
14	89029379	89093940	ZC3H14	160	8	0.050000
14	89078773	89259297	EML5	160	8	0.050000
14	89290495	89347423	TTC8	156	8	0.051282
14	91737665	91884164	CCDC88C	160	5	0.031250
14	92432333	92506403	TRIP11	158	24	0.151899
14	92588311	92638489	CPSF2	160	44	0.275000
14	92788923	92967825	SLC24A4	155	12	0.077419
14	93260648	93306292	GOLGA5	160	15	0.093750
14	93703894	93799382	BTBD7	158	0	0.000000
14	93799526	94174222	UNC79	160	0	0.000000
14	94640647	94746072	PPP4R4	160	3	0.018750
14	94770583	94789673	SERPINA6	160	0	0.000000
14	95552563	95624347	DICER1	160	0	0.000000
14	100150633	100193638	CYP46A1	151	1	0.006623
14	100437757	100610573	EVL	160	4	0.025000
14	100610292	100625982	DEGS2	160	4	0.025000
14	100800125	100842664	WARS1	160	1	0.006250
14	102829276	102968814	TECPR2	154	4	0.025974
14	103398715	103523886	CDC42BPB	160	5	0.031250
14	103851699	103970168	MARK3	160	5	0.031250
14	104394791	104519004	TDRD9	160	21	0.131250
14	105675621	105781914	BRF1	151	1	0.006623
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
15	33603166	34158322	RYR3	160	1	0.006250
15	35663079	35838366	DPH6	160	13	0.081250
15	40091207	40212467	GPR176	160	1	0.006250
15	40226314	40327792	EIF2AK4	160	3	0.018750
15	40674920	40686489	KNSTRN	160	3	0.018750
15	41099285	41107282	ZFYVE19	160	2	0.012500
15	41221536	41231271	DLL4	160	0	0.000000
15	41245667	41248710	CHAC1	160	0	0.000000
15	41271076	41408478	INO80	160	0	0.000000
15	41809372	41836455	RPAP1	160	0	0.000000
15	42140342	42186251	SPTBN5	160	3	0.018750
15	42188129	42264755	EHD4	153	0	0.000000
15	51739917	51914968	DMXL2	160	19	0.118750
15	51973548	52013223	SCG3	159	18	0.113208
15	52121848	52207922	TMOD3	160	4	0.025000
15	52407295	52483589	GNB5	160	13	0.081250
15	52472221	52498076	CERNA1	160	13	0.081250
15	52484517	52588001	MYO5C	160	13	0.081250
15	52599478	52821247	MYO5A	160	2	0.012500
15	53805936	54055075	WDR72	160	17	0.106250
15	54270636	54925638	UNC13C	160	35	0.218750
15	55647419	55700708	CCPG1	160	2	0.012500
15	55647419	55790782	DNAAF4-CCPG1	160	2	0.012500
15	55903740	56035350	PRTG	160	2	0.012500
15	56119113	56285810	NEDD4	160	3	0.018750
15	56657620	56738195	TEX9	160	0	0.000000
15	56720920	56757335	MNS1	160	0	0.000000
15	56922372	57026284	ZNF280D	158	1	0.006329
15	57884100	58009755	GCOM1	160	0	0.000000
15	57998717	58009755	POLR2M	160	0	0.000000
15	62939508	63136830	TLN2	160	2	0.012500
15	63613575	63674309	CA12	156	1	0.006410
15	63900815	64126147	HERC1	160	7	0.043750
15	64457722	64648372	CSNK1G1	160	0	0.000000
15	65204099	65251033	ANKDD1A	154	0	0.000000
15	65440555	65477680	CLPX	160	1	0.006250
15	65673820	65715285	IGDCC4	160	2	0.012500
15	65734803	65810027	DPP8	160	2	0.012500
15	65822799	65870687	HACD3	160	1	0.006250
15	66187632	66546075	MEGF11	155	0	0.000000
15	68588868	68724502	ITGA11	159	0	0.000000
15	70340127	70390256	TLE3	160	53	0.331250
15	75074419	75095539	CSK	160	2	0.012500
15	78832745	78844759	PSMA4	160	74	0.462500
15	78857860	78887611	CHRNA5	160	77	0.481250
15	78885392	78913338	CHRNA3	160	77	0.481250
15	80135887	80189627	MTHFS	160	66	0.412500
15	80135887	80215448	ST20-MTHFS	160	66	0.412500
15	80191182	80216094	ST20	154	35	0.227273
15	80696722	80890274	ARNT2	160	11	0.068750
15	84322873	84708594	ADAMTSL3	160	43	0.268750
15	85359909	85416713	ALPK3	160	46	0.287500
15	85523696	85682373	PDE8A	160	13	0.081250
15	85923832	86292589	AKAP13	160	12	0.075000
15	89859534	89878055	POLG	160	6	0.037500
15	90014636	90039814	RHCG	158	17	0.107595
15	90544554	90625423	ZNF710	158	5	0.031646
15	90931472	91045471	IQGAP1	160	39	0.243750
15	91498104	91506355	RCCD1	154	2	0.012987
15	91509268	91537765	PRC1	160	3	0.018750
15	91509597	91531854	PRC1-AS1	160	3	0.018750
15	91541644	91565851	VPS33B	156	1	0.006410
15	93443552	93571226	CHD2	160	5	0.031250
15	101459560	101618462	LRRK1	160	3	0.018750
15	101715930	101792253	CHSY1	160	14	0.087500
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
16	3551002	3589048	CLUAP1	160	16	0.100000
16	3589031	3627404	NLRC3	160	16	0.100000
16	3631180	3661607	SLX4	156	14	0.089744
16	3702938	3708096	DNASE1	160	15	0.093750
16	3775053	3930714	CREBBP	160	9	0.056250
16	4746509	4784378	ANKS3	160	2	0.012500
16	4784536	4799397	C16orf71	160	2	0.012500
16	4798238	4817163	ZNF500	160	2	0.012500
16	20944431	21170762	DNAH3	160	6	0.037500
16	21208771	21225831	ZP2	159	0	0.000000
16	22217597	22300059	EEF2K	160	3	0.018750
16	22308694	22346424	POLR3E	160	3	0.018750
16	28109295	28223286	XPO6	153	1	0.006536
16	53737873	54155853	FTO	158	1	0.006329
16	55542982	55620578	LPCAT2	158	10	0.063291
16	56395362	56459457	AMFR	160	10	0.062500
16	57496589	57505921	POLR2C	160	28	0.175000
16	58191809	58232010	CSNK2A2	160	0	0.000000
16	58283838	58317740	CCDC113	160	17	0.106250
16	74481336	74641012	GLG1	160	1	0.006250
16	74705751	74734760	MLKL	159	1	0.006289
16	75505938	75529339	CHST6	160	0	0.000000
16	76311297	76594654	CNTNAP4	160	56	0.350000
16	77316023	77468931	ADAMTS18	160	57	0.356250
16	86612153	86617084	FOXL1	160	0	0.000000
16	88922626	88929094	TRAPPC2L	160	0	0.000000
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
17	900367	906911	TIMM22	160	10	0.062500
17	3343303	3417146	SPATA22	160	1	0.006250
17	3377402	3406699	ASPA	160	1	0.006250
17	3617920	3704482	ITGAE	160	3	0.018750
17	3907737	4046324	ZZEF1	160	3	0.018750
17	4573067	4607432	PELP1	160	0	0.000000
17	4613925	4624792	ARRB2	160	0	0.000000
17	6701310	6735048	TEKT1	156	16	0.102564
17	10286447	10528857	MYHAS	160	2	0.012500
17	10293637	10325267	MYH8	160	2	0.012500
17	10346605	10372876	MYH4	160	2	0.012500
17	10395622	10421859	MYH1	160	2	0.012500
17	10424463	10452975	MYH2	160	2	0.012500
17	10614451	10633646	TMEM220	160	3	0.018750
17	12569205	12672266	MYOCD	159	26	0.163522
17	12575177	12609452	MYOCD-AS1	155	21	0.135484
17	13972819	14111994	COX10	160	39	0.243750
17	19807613	19881169	AKAP10	160	30	0.187500
17	25621138	25642952	WSB1	160	0	0.000000
17	33474834	33516364	UNC45B	160	8	0.050000
17	33901812	33905590	PEX12	160	60	0.375000
17	36956685	36981603	CWC25	160	3	0.018750
17	37092683	37123656	FBXO47	160	36	0.225000
17	37213270	37237704	RDM1P5	160	35	0.218750
17	37219564	37307890	PLXDC1	160	43	0.268750
17	71228570	71245098	C17orf80	160	6	0.037500
17	72209708	72258159	TTYH2	160	7	0.043750
17	72667268	72743474	RAB37	160	3	0.018750
17	72690454	72709062	CD300LF	160	3	0.018750
17	75084765	75213183	SEC14L1	160	2	0.012500
17	76000316	76104916	TNRC6C	160	4	0.025000
17	76670127	76778424	CYTH1	160	40	0.250000
17	76791732	76836609	USP36	160	42	0.262500
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
18	5289016	5297052	ZBTB14	160	0	0.000000
18	29200997	29264708	B4GALT6	160	2	0.012500
18	43660212	43684199	ATP5F1A	159	2	0.012579
18	44056922	44236996	LOXHD1	160	14	0.087500
18	44383179	44500108	PIAS2	160	3	0.018750
18	44497555	44628614	KATNAL2	160	3	0.018750
18	48556581	48611412	SMAD4	160	10	0.062500
18	49866565	51062269	DCC	160	6	0.037500
18	51795847	51847636	POLI	160	2	0.012500
18	52495706	52562747	RAB27B	160	2	0.012500
18	54318614	54697036	WDR7	156	13	0.083333
18	55313656	55470547	ATP8B1	160	21	0.131250
18	59708395	59854289	PIGN	160	2	0.012500
18	59854486	59977482	RELCH	160	0	0.000000
18	59992518	60058521	TNFRSF11A	159	0	0.000000
18	60190256	60253962	ZCCHC2	160	1	0.006250
18	66340923	66382410	TMX3	160	6	0.037500
18	66382451	66722426	CCDC102B	160	26	0.162500
18	67520508	67624035	CD226	160	25	0.156250
18	67670265	67872923	RTTN	160	1	0.006250
18	71740601	71815069	FBXO15	160	56	0.350000
18	72163596	72190689	CNDP2	160	3	0.018750
18	74534561	74682683	ZNF236	160	4	0.025000
18	76740273	76758969	SALL3	160	1	0.006250
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
19	5978412	6020374	LOC100128568	160	15	0.093750
19	5993173	6110511	RFX2	160	15	0.093750
19	7694677	7696842	PET100	160	7	0.043750
19	7696499	7698605	PCP2	160	7	0.043750
19	7701994	7712759	STXBP2	149	4	0.026846
19	8023455	8070525	ELAVL1	160	1	0.006250
19	8807748	8809145	ACTL9	160	7	0.043750
19	10216897	10222688	PPAN	160	9	0.056250
19	10217036	10226048	PPAN-P2RY11	160	9	0.056250
19	10244020	10305629	DNMT1	160	8	0.050000
19	10420719	10426691	FDX2	160	19	0.118750
19	10426886	10444205	RAVER1	160	20	0.125000
19	10444450	10450300	ICAM3	160	16	0.100000
19	16296219	16302857	FAM32A	160	1	0.006250
19	16308720	16356717	AP1M1	160	1	0.006250
19	30302896	30315219	CCNE1	160	41	0.256250
19	33087910	33166086	ANKRD27	160	39	0.243750
19	33321415	33360673	SLC7A9	160	35	0.218750
19	33366829	33462864	CEP89	160	36	0.225000
19	34663407	34720420	LSM14A	160	2	0.012500
